Date,Title,Content,Link
16/6/2022,Civil servant couple charged by ICAC face additional charge of maintaining living standard above official emoluments involving $12m cash deposits,"The ICAC today (June 16) laid an additional charge of maintaining a living standard above the official emoluments against a Senior Building Services Engineer of the Electrical and Mechanical Services Department (EMSD) and a Clinical Psychologist of the Social Welfare Department (SWD). The civil servant couple and a subcontractor of the EMSD were earlier charged with bribery, misconduct in public office (MIPO) and laundering crime proceeds in a case involving minor works contracts worth about $91.4 million of the EMSD.Upon further legal advice from the Department of Justice, Zsa Sing-tak, 57, Senior Building Services Engineer of the EMSD; Zsa’s wife Ng Wai-shan, 50, Clinical Psychologist of the SWD, were today jointly laid an additional charge of being a prescribed officer maintaining a standard of living above that commensurate with his official emoluments, contrary to sections 10(1)(a) of the Prevention of Bribery Ordinance (POBO).The duo and co-defendant Chan Tsz-wing, 55, subcontractor of the EMSD, will appear in the Eastern Magistrates’ Courts next Monday (June 20) for mention.  An application will be made at a later stage to have the case committed to the High Court.  The additional charge alleges that between January 2012 and August 2019, Zsa, together with Ng, maintained a standard of living above that commensurate with Zsa’s official emoluments.ICAC investigation revealed that during the above period, the two civil servants, Zsa and Ng, each received over 200 cash deposits in the total amount of about $12 million. The couple’s total known source of funds was about $40 million, including their official emoluments totalling about $15 million. However, they were able to spend over $52 million, which exceeded their official emoluments and any other known sources by about $12 million.Section 10 of the POBO states that it is an offence if any person holding an office of emolument under the Government, including a civil servant, maintains a standard of living above that which is commensurate with his official emoluments, or is in control of property disproportionate to his emoluments, unless he gives a satisfactory explanation to the court. Any person who violates this section is liable on conviction to a maximum penalty of a 10-year imprisonment and a fine of $1 million.Since its inception in 1974, the ICAC has strived to uphold a clean civil service and enforced the POBO vigorously to detect and weed out any corrupt conduct of public servants.The ICAC earlier brought nine charges against Zsa, Ng and Chan, namely one of public servant accepting an advantage, one of offering an advantage to a public servant, two of MIPO, and five of dealing with property known or believed to represent proceeds of an indictable offence.Zsa joined the EMSD in 1991 and was promoted to Senior Building Services Engineer in October 2014. Since August 2013, he was posted to Minor Works Sub-Division under Municipal Sector Division. He was responsible for handling and overseeing tendering and operations of public works contracts. At the material time, his wife, Ng, was a Clinical Psychologist of the SWD.Between October 2016 and April 2018, the Minor Works Sub-Division in which Zsa was working awarded two minor works contracts at about $91.4 million to two main contractors. The contracts were subsequently subcontracted to three subcontractors in which Chan was the director-cum-shareholder.According to the Circular issued by the Civil Service Bureau and the Guide on Conduct and Discipline issued by the EMSD, its staff members should avoid any conflict of interest with any tenderer and are required to declare any conflict of interest in relation to a tendering exercise and the subsequent contract management.It is alleged that Zsa and Chan respectively accepted and offered $40,000, without lawful authority or reasonable excuse, as an inducement to or reward for Zsa being or remaining favourably disposed to the above three subcontractors or other companies.Zsa had allegedly willfully misconducted himself in the course of or in relation to his public office, without reasonable excuse or justification, by failing to declare his conflict of interest arising from his personal friendship with Chan and another person, both directors of subcontractors of the above EMSD contracts in respect of which Zsa was responsible for the management and supervision of the performance of the contractors.In addition, Zsa and Ng had allegedly dealt with a total of over $9.5 million deposited into four bank accounts of them, knowing or having reasonable grounds to believe that they in whole or in part, directly or indirectly represented the proceeds of an indictable offence.Arising from the same investigation, Ng alone faces four counts of fraud in a separate case which involved four mortgage and personal loans totalling over $7.3 million.The EMSD and the SWD have rendered full assistance to the ICAC during its investigation into the cases.",https://www.icac.org.hk/en/press/index_id_1363.html
16/6/2022,Ex-site team leader charged by ICAC with soliciting and accepting bribes from public hospital expansion project workers,"A former site team leader of a subcontractor of an expansion project of United Christian Hospital was charged by the ICAC yesterday (June 15) with soliciting and accepting illegal rebates totalling over $25,000 from four carpenters and bar benders for securing their employment with the subcontractor and being favourably disposed to them at work.The investigation arose from a corruption complaint. Upon completion of the investigation, the ICAC sought legal advice from the Department of Justice, which advised charges be laid against the defendant.Tsoi Wai-tung, 44, former site team leader of Star Power Engineering Limited (Star Power), faces three counts of conspiracy for an agent to accept advantages and one count of agent soliciting an advantage, contrary to Sections 9(1)(a) and 9(1)(b) of the Prevention of Bribery Ordinance and Section 159A of the Crimes Ordinance.The defendant was released on ICAC bail, pending his appearance in the Kwun Tong Magistrates’ Courts tomorrow (June 17) for plea.The alleged offences took place between December 2020 and May 2021. At the material time, Star Power was a subcontractor for carpentry and bar bending works of the above expansion project. The defendant, a site team leader of Star Power, had referred a number of workers to work at the construction site under his supervision at a daily wage ranging from about $1,300 to $1,400.Three of the charges allege that the defendant separately conspired with three workers for the defendant, without lawful authority or reasonable excuse, to accept illegal rebates totalling about $25,000 from the trio, as an inducement to or reward for assisting them to secure and continue their employment with Star Power.The remaining charge alleges that the defendant, without lawful authority or reasonable excuse, solicited an illegal rebate of $100 per working day from another worker as an inducement to or reward for being or remaining favourably disposed towards the latter at work. ICAC investigation revealed that the worker rejected the defendant’s solicitation.The ICAC calls on the construction industry to adhere to integrity and further reminds construction workers that if they are asked to pay illegal rebates or “referral fees”, they should refuse immediately and report to the ICAC. The Commission will continue to collaborate with the Government, public bodies and the Construction Industry Council to provide corruption prevention services to the industry, and step up its efforts in promoting the “Don’t bribe for Jobs” message to frontline construction workers.In order to assist public bodies and construction companies in strengthening their corruption prevention capabilities to tackle possible illegal conducts in recruitment, the Corruption Prevention Department has produced the “Corruption Prevention Checklist on Recruitment of Construction Workers”: cpas.icac.hk/EN/Info/Lib_List?cate_id=3&id=2623. The construction industry and its frontline workers could also refer to the dedicated webpage tailor-made for the industry: hkbedc.icac.hk/en/sector_industry/construction/28.Star Power has rendered full assistance to the ICAC during its investigation into the case.",https://www.icac.org.hk/en/press/index_id_1362.html
15/6/2022,"Ex-contractor staff of PolyU’s community college charged by ICAC admits $550,000 purchase order fraud","A former employee of a contractor of the Hong Kong Community College (HKCC) under the Hong Kong Polytechnic University (PolyU), charged by the ICAC, today (June 15) admitted at the Kowloon City Magistrates’ Courts that he had deceived the HKCC into placing purchase orders worth totalling over $550,000 with a company by concealing his and his mother’s interest in the company.Dillion Leung Ka-wah, 46, former chief maintenance engineer of Hong Yip Service Company Limited (Hong Yip), pleaded guilty to two counts of fraud, contrary to Section 16A(1) of the Theft Ordinance.Acting Principal Magistrate Ms Peony Wong Nga-yan adjourned the case to June 29 for sentence, pending the defendant’s background and community service order reports. The defendant was remanded in custody of the Correctional Services Department.The court heard that at the material time, Hong Yip was the facilities management services provider of HKCC. The defendant was posted by Hong Yip to the HKCC as the supervisor of the repair and maintenance works of its Hung Hom Bay campus and West Kowloon campus.The defendant was entrusted by the HKCC to provide procurement support, including placing purchase orders with suppliers and making payments to them directly. He had to follow the guidelines of Hong Yip and the HKCC, and declare any conflict of interest when performing his duties.In June 2017, the defendant set up Mulan Trading Company (Mulan). His mother subsequently became the sole proprietor of the company in late February 2018. At the material time, the defendant was the sole signatory of Mulan’s bank account.Between December 2017 and September 2019, HKCC had placed 54 direct purchase orders with Mulan. In all the summaries of invoices concerned, the defendant had failed to disclose his own interest or his mother’s interest in Mulan.In late January 2019, the defendant had sought quotations for procuring 150 sets of lighting tubes from three suppliers. Among the suppliers was Mulan, which offered the lowest bid. The defendant declared that he had no conflict of interest in the procurement and recommended to accept Mulan’s bid.Believing that the defendant had no conflict of interest in Mulan, PolyU approved the 54 direct purchases and released payments totalling over $520,000 to Mulan, and engaged Mulan for procuring the 150 sets of lighting tubes at about $30,000.Had Hong Yip and the HKCC known that the defendant had conflict of interest in Mulan, they would not have processed the above direct purchases and lighting tubes procurement.The PolyU, the HKCC and Hong Yip had rendered full assistance to the ICAC during its investigation into the case.The prosecution was today represented by ICAC officer Issac Chong.",https://www.icac.org.hk/en/press/index_id_1359.html
15/6/2022,"Manager of CEDD contractor charged by ICAC with fraud over subcontracting $900,000 works","The ICAC today (June 15) charged a manager of a contractor of the Civil Engineering & Development Department (CEDD) for deceiving the department into releasing payments totalling over $900,000 by falsely representing that the contractor had engaged a qualified subcontractor to carry out the required steelwork for a construction project.The ICAC investigation arose from a corruption complaint. Upon completion of the investigation, the ICAC sought legal advice from the Department of Justice, which advised charging the defendant.Simon Tong Sai-man, 74, construction manager of Wing Lee (SK) Construction Company Limited (Wing Lee), faces one count of fraud, contrary to Section 16A of the Theft Ordinance. The defendant was released on ICAC bail, pending his appearance in the West Kowloon Magistrates’ Courts on Friday (June 17) for plea.At the material time, the defendant was a construction manager of Wing Lee, which was awarded a construction project by the CEDD at a contract sum of about $69 million. The CEDD had engaged Ove Arup & Partners Hong Kong Limited (Ove Arup) as a consultant to monitor and supervise the project on its behalf.The contract stipulated that Wing Lee was required to build a walkway with a steel structure cover (the steelwork) and it could only be carried out by a subcontractor which was on the Government’s List of Approved Suppliers of Materials and Specialist Contractors for Public Works under the structural steelwork category (the steelwork specialist list). In addition, Wing Lee was required to supervise the performance of the subcontractor.The charge alleges that between December 2017 and August 2019, the defendant falsely represented to Ove Arup that Wing Lee had engaged KPa Engineering Limited (KPa Engineering), a subcontractor on the steelwork specialist list, for carrying out the aforesaid steelwork, and with intent to defraud, induced Ove Arup to recommend the CEDD to release payments totalling over $900,000 to Wing Lee.It is alleged that Wing Lee had never engaged KPa Engineering or any of the subcontractors on the steelwork specialist list to carry out the steelwork concerned. The CEDD, Ove Arup and KPa Engineering have rendered full assistance to the ICAC during its investigation into the case.",https://www.icac.org.hk/en/press/index_id_1361.html
15/6/2022,ICAC probe reveals ex-money exchange branch manager uses false documents over $7.6m remittance,"The ICAC today (June 15) charged a former branch manager of a currency exchange company with using remittance application forms containing false information to deceive the company that a customer had settled the remittance amount in full before remitting a total of $7.6 million.The investigation arose from a corruption complaint. Upon completion of the investigation, the ICAC sought legal advice from the Department of Justice, which advised charges be laid against the defendant.Au Yeung-hin, 28, former branch manager of Hui’s Brothers Foreign Currency Exchange Company Limited (Hui’s Brothers), faces 10 counts of agent using document with intent to deceive his principal, contrary to Section 9(3) of the Prevention of Bribery Ordinance.The defendant was released on ICAC bail, pending his appearance in the West Kowloon Magistrates’ Courts on Friday (June 17) for plea.At the material time, the defendant was a branch manager of Hui’s Brothers. He was responsible for overseeing the operation of a branch in Tsuen Wan. When handling a remittance, staff members of the branch were required to submit to Hui’s Brother a remittance application form containing details of a remittance. According to the company’s policy, a remittance would only be processed after a customer had settled the remittance amount in full.The charges allege that on 10 occasions between November 23, 2020 and January 4, 2021, the defendant, with intent to deceive Hui’s Brothers, used 17 remittance application forms each containing a false statement that the remittance amount had been settled by cash by the remitter.ICAC investigation revealed that the above remittance application forms involved 17 remittances of a customer totalling $7.6 million. It is alleged that the customer did not settle the remittance amount in full in advance, and made a partial payment after Hui’s Brothers handled each remittance.Hui’s Brothers has rendered full assistance to the ICAC during its investigation into the case.",https://www.icac.org.hk/en/press/index_id_1360.html
14/6/2022,Assistant Manager of LCSD turning up late for work in COVID-19 charged by ICAC over false attendance records,"An Assistant Manager of the Leisure and Cultural Services Department (LCSD) was charged by the ICAC today (June 14) for allegedly using false attendance records with altered clock-in entries to cover up her late for work for a total of around 30 hours in four months during the COVID-19 epidemic.The ICAC investigation arose from a complaint referred by the LCSD alleging breaches of the Prevention of Bribery Ordinance (POBO). Upon legal advice sought from the Department of Justice after completion of the investigation, the Assistant Manager was charged with four counts of agent using document with intent to deceive her principal, contrary to Section 9(3) of the POBO.Tsang Lai-ping, 41, was released on ICAC bail, pending her appearance in the West Kowloon Magistrates’ Courts on Thursday (June 16) for plea.At the material time, the defendant was posted to the Cultural Presentations Section (the Section). She was required to report for duty at the Hong Kong Cultural Centre at 9:30 am five days a week to organise theatre shows. Since late November 2020, her reporting time was changed to 10 am following LCSD’s implementation of flexible duty hours under the COVID-19 epidemic.If staff members of the Section were late for work, the LCSD might take disciplinary actions against them and make salary deductions in accordance with the Civil Service Regulation.The charges allege that the defendant, with intent to deceive the LCSD, used four monthly attendance records of October 2020 to January 2021 containing false statements in which her reporting time in a total of 27 entries had been altered so that they appeared earlier than the actual times she clocked in.ICAC inquiries revealed that the defendant was late for work for a total of around 30 hours on 27 occasions in the above four months. The reporting times in the 27 entries were on average advanced by one hour, while one of them was even altered to appear two hours early. Based on the monthly attendance records submitted by the defendant, the LCSD had failed to deduct a total of over $9,700 from her salary payments.The LCSD has rendered full assistance to the Commission during its investigation into the case.An ICAC spokesperson reminds civil servants to uphold a high standard of integrity and abide by the law at all times, so as to maintain public confidence in the civil service.",https://www.icac.org.hk/en/press/index_id_1358.html
13/6/2022,ICAC to commence household survey to gauge public views on corruption and anti-graft work,"The ICAC will kick start its annual opinion survey this Thursday (June 16) to gauge public attitudes towards corruption and their understanding of Hong Kong’s anti-graft work.About 1,700 Hong Kong residents, aged between 15 and 74, will be selected randomly through scientific sampling for interviews to be conducted by an independent and professional research agency appointed by the ICAC.“The ICAC has been conducting annual opinion surveys for nearly 30 years. Throughout the years the survey findings enabled the Commission to formulate and fine-tune its strategies in law enforcement, corruption prevention and public education,” said an ICAC spokesman.Selected households will receive a notification letter from the ICAC.  Interviewers of the research agency will visit the households between 10:00 am and 9:45 pm during the survey period for a simple face-to-face interview which will last about 10-15 minutes. Selected households are welcome to call the research company or the ICAC to schedule the interview at their preferred time.All interviewers will bear an authorisation letter issued by the ICAC as well as a staff identity card of the research agency for identification purposes. In view of the epidemic situation, all interviewers must fulfill the vaccination requirements of “Vaccine Pass” and adopt relevant anti-epidemic measures, including performing a Rapid Antigen Test for COVID-19 and checking body temperature before conducting fieldwork every day, wearing a face mask throughout the interview, and sterilising their hands before and after each interview. The ICAC and the research agency will constantly review the anti-epidemic measures and arrangements.All data collected from the survey will be compiled in aggregate, and the completed questionnaires will be destroyed after completion of the survey.Details of the survey are now available on the ICAC corporate website (www.icac.org.hk).  For enquiries, members of the public may call the ICAC enquiry hotline 2826 3273 between 10:00 am and 10:00 pm from Monday to Sunday during the survey period. ",https://www.icac.org.hk/en/press/index_id_1355.html
13/6/2022,Trio charged after ICAC graft probe reveals $37.5m critical illness insurance compensation scam,"The ICAC today (June 13) charged three persons, including a former insurance agent and a policyholder, for allegedly conspiring to deceive an insurance company in applications for critical illness and medical insurance claims by arranging cancer patients to pose as relevant policyholders to undergo medical examinations at various clinical institutions so as to obtain required medical certificates. The scam involved 10 insurance policies and the claims amounted to about $37.5 million.The ICAC investigation arose from a corruption complaint. Upon legal advice from the Department of Justice, Wong Ka-keung, 43, former insurance agent of AIA International Limited (AIA); Lo Chun-kit, 44, driver; and Leung Wai-kin, 40, renovation worker, have been jointly charged with two counts of conspiracy to defraud, contrary to Common Law. Wong alone further faces four similar offences and three counts of forgery, contrary to Section 71 of the Crimes Ordinance.The defendants will appear in the Eastern Magistrates’ Courts tomorrow (June 14) for mention.The alleged offences took place between October 2017 and December 2020. At the material time, Wong was an insurance agent of AIA who assisted Lo in taking out two insurance policies with AIA.Two of the charges allege that Wong, Lo and Leung conspired together with other persons to defraud AIA by dishonestly falsely representing that Lo had been diagnosed with cancer and that the medical expenses incurred were for his treatments; thereby causing and inducing AIA to approve the critical illness and medical expenses claims made by Lo and to pay him compensations in accordance with the two insurance policies took out by Lo.Four other charges allege that Wong conspired together with other persons to defraud AIA by dishonestly falsely representing that Wong and the two policyholders (the trio) had been diagnosed with different types of cancer; thereby causing and inducing AIA to approve the critical illness claims made by the trio and to pay them compensations in accordance with eight insurance policies taken out by them.It is alleged that Wong, Lo and other persons falsely represented to AIA that they were diagnosed with different types of critical illness, namely lymphoma, throat, breast, stomach and ovarian cancer. They had allegedly arranged cancer patients, including Leung, to pose as relevant policyholders to undergo examinations at various clinical institutions so as to obtain the required medical certificates.ICAC investigation revealed that Wong was the handling agent of all of the above 10 insurance policies and the policyholder of six of them. The critical illness and medical expenses claims in relation to those insurance policies amounted to about $37.5 million.The remaining charges allege that Wong made three false certificates of sickness with the intention that one of the imposters in the scam should use them to induce somebody to accept them as genuine.AIA has rendered full assistance to the ICAC during its investigation. As the relevant corruption investigation is continuing, the ICAC does not rule out further law enforcement actions.The ICAC calls on insurance practitioners to adhere to their pledge to integrity and urges members of public and policyholders not to take part in any insurance-related corrupt and illegal activities. To assist the insurance industry to adhere to integrity and prevent corruption and fraud, the Corruption Prevention Department had collaborated with the industry to compile the “Corruption Prevention Guide for Insurance Companies” which assists insurance companies in building and strengthening their corruption prevention capabilities in key operational areas such as claims verification. “Corruption Prevention Guide for Insurance Companies”: cpas.icac.hk/EN/Info/Lib_List?cate_id=3&id=2568.The ICAC will continue to collaborate with the industry in providing integrity training to insurance practitioners. They may contact the Hong Kong Business Ethics Development Centre of the Community Relations Department. In addition, the ICAC produces corruption prevention resources for insurance companies, insurance practitioners and policyholders. Information is available at the Ethics Promotion Website for the Insurance Industry: hkbedc.icac.hk/insurance/en.",https://www.icac.org.hk/en/press/index_id_1356.html
10/6/2022,Ex-property agent charged by ICAC jailed for fraud over agency commission in leasing transaction,"A former property agent, charged by the ICAC, was today (June 10) sentenced to seven weeks’ imprisonment at the Eastern Magistrates’ Courts for fraud by inducing her then employer not to collect an agency commission of $47,800 from a tenant by concealing a leasing transaction she had procured.Zhang Huixiong, 52, former property agent of Centaline Property Agency Limited (Centaline Property), was earlier found guilty of one count of fraud, contrary to Section 16A(1) of the Theft Ordinance.In sentencing, Magistrate Ms Leung Ka-kie said the offence committed by the defendant constituted a breach of trust, warranting a custodial sentence.The court heard that at the material time, the defendant was a licensed property agent employed by Centaline Property. She was posted to the Wong Chuk Hang Heung Yip Road Branch of Centaline Commercial.Centaline Property maintained a database for its agents to search and list properties for sale or lease. For leasing transaction of an industrial property, Centaline Property would generally charge both the landlord and the tenant one month’s rent as agency commission.In July 2018, the defendant logged on to the database to update the status of a property in an industrial building in Tin Wan as “open for lease”. Around a month later, the defendant received a client of Centaline Property who was looking for an office premises in Wong Chuk Hang for rent. The defendant recommended the above property in Tin Wan to the client, saying that it belonged to a friend of her.The client entered into a tenancy agreement with the landlord in September 2018 for leasing the Tin Wan property at a monthly rental of $47,800. The defendant then updated the status of the property on Centaline Property’s database to “not for lease”, but she did not report the leasing transaction to the company.Centaline Property terminated the defendant in early October 2018 after the above incident came to the knowledge of the company. In late October 2018, the defendant told the client that there was no need to pay any agency commission to Centaline Property as she was only helping out a friend.According to Centaline Property’s policy, the defendant was under a duty to make full disclosure of any property transaction procured by her as property agent of Centaline Property. Had the defendant reported to the company that she had procured the leasing transaction of the property, Centaline Property would collect an agency commission of $47,800 from the client, the court heard.The case arose from a corruption complaint. Subsequent ICAC enquiries revealed the above offence. Centaline Property had rendered full assistance to the ICAC during its investigation into the case.The prosecution was today represented by prosecuting counsel Kitty Tsang, assisted by ICAC officer Dirk Cheung.",https://www.icac.org.hk/en/press/index_id_1354.html
9/6/2022,Ex-manager of interior design firm charged as ICAC probe reveals fraud and theft involving $4.6m,"A former manager of an interior design and renovation company was charged by the ICAC yesterday (June 8) with defrauding the company of and stealing from it a total of over $4.6 million.The investigation arose from a corruption complaint. Upon completion of the investigation, the ICAC sought legal advice from the Department of Justice, which advised charges be laid against the defendant.Amy Mak Man-yee, 43, former administration and account manager of Hei Design Limited (Hei Design), faces a total of 19 charges – nine of fraud and 10 of theft, respectively contrary to Section 16A and Section 9 of the Theft Ordinance.The defendant was released on ICAC bail, pending her appearance in the Eastern Magistrates’ Courts tomorrow (June 10) for mention, and the case will be transferred to the District Court.At the material time, the defendant was responsible for Hei Design’s daily accounting work, including preparing cheques for her employer, the operator of Hei Design, to sign so as to arrange payments to its suppliers and contractors.The fraud charges allege that on nine occasions between April 2017 and August 2019, the defendant falsely represented to her employer that the cheques she prepared were payable to a furniture supplier and two decoration contractors to settle payments for purchase orders that the company had placed with them, and with intent to defraud, induced her employer to sign on 30 cheques.ICAC investigation revealed that the 30 cheques involved sums totalling over $2.8 million. They were allegedly deposited into the defendant’s own bank accounts or used to pay decoration and furniture purchase fees for two companies of the defendant.The theft charges allege that between January 2018 and March 2019, the defendant stole from Hei Design 10 sums of money totalling about $1.8 million.It is revealed in the ICAC investigation that the above sums were allegedly deposited into a bank account of the defendant by means of 10 cheques, each ranging from about $76,000 to $210,000. The defendant’s employer was the sole signatory of all bank accounts of the company, but the 10 cheques were not signed by him.Hei Design has rendered full assistance to the ICAC during its investigation into the case.",https://www.icac.org.hk/en/press/index_id_1353.html
